"S No." "States/Union Territory" "Name of the District" "Sub Centres" PHCs CHCs "Sub Divisional Hospital" "District Hospital"
16 Manipur "Imphal East" 54 11 2 0 0
16 Manipur "Imphal West" 51 9 2 0 0
16 Manipur Senapati 66 14 2 0 1
16 Manipur Tamenglong 29 6 1 0 1
16 Manipur Thoubal 57 13 5 0 1
16 Manipur Ukhrul 40 8 1 0 1
16 Manipur Total 421 85 17 1 7
17 Meghalaya "East Garo Hill" 31 7 1 0 1
17 Meghalaya "East Jaintia Hills" 34 6 2 0 0
17 Meghalaya "East Khasi Hills" 64 26 6 0 4
17 Meghalaya "North Garo Hills" 50 9 1 0 0
17 Meghalaya "Ri Bhoi" 32 8 3 0 1
17 Meghalaya "South Garo Hills" 21 6 1 0 1
17 Meghalaya "South West Garo Hills" 27 9 1 1 0
17 Meghalaya "South West Khasi Hills" 21 2 2 0 0
17 Meghalaya "West Garo Hills" 64 9 5 0 2
17 Meghalaya "West Jaintia Hills" 46 12 3 0 1
17 Meghalaya "West Khasi Hills" 46 15 2 0 2
17 Meghalaya Total 436 109 27 1 12
18 Mizoram "Aizawl East District" 57 6 2 0 1
18 Mizoram "Aizawl West District" 37 6 0 1 1
18 Mizoram "Champhai District" 59 11 2 0 1
18 Mizoram "Kolasib District" 26 5 1 0 1
18 Mizoram "Lawngtlai District" 37 5 1 0 1
18 Mizoram "Lunglei District" 70 9 1 1 1
18 Mizoram "Mamit District" 33 6 1 0 1
18 Mizoram "Saiha District" 24 4 0 0 1
18 Mizoram "Serchhip District" 27 5 1 0 1
18 Mizoram Total 370 57 9 2 9
19 Nagaland Dimapur 47 8 2 0 1
19 Nagaland Kiphire 19 4 1 0 1
19 Nagaland Kohima 40 14 3 0 1
19 Nagaland Longleng 8 3 0 0 1
19 Nagaland Mokokchung 51 14 3 0 1
19 Nagaland Mon 50 15 2 0 1
19 Nagaland Phek 43 23 3 0 1
19 Nagaland Peren 16 8 1 0 1
19 Nagaland Tuensang 38 12 2 0 1
19 Nagaland Wokha 37 12 2 0 1
19 Nagaland Zunheboto 47 13 2 0 1
19 Nagaland Total 396 126 21 0 11
20 Odisha Angul 166 31 9 3 1
20 Odisha Balasore 275 68 17 1 1
20 Odisha Baragarh 204 46 14 1 1
20 Odisha Bhadrak 178 52 7 0 1
20 Odisha Bolangir 226 44 15 2 1
20 Odisha Boudh 67 12 5 0 1
20 Odisha Cuttack 332 63 19 2 1
20 Odisha Deogarh 42 8 4 0 1
20 Odisha Dhenkanal 167 36 10 2 1
20 Odisha Gajapati 136 21 8 0 1
20 Odisha Ganjam 460 89 29 3 1
20 Odisha Jagatsinpur 189 37 8 0 1
20 Odisha Jajpur 260 59 11 0 1
20 Odisha Jharsuguda 66 16 5 0 1
20 Odisha Kalahandi 242 45 17 1 1
20 Odisha Kandhamal 172 40 14 1 1
20 Odisha Kendrapara 227 46 9 0 1
20 Odisha Keonjhar 351 66 16 2 1
20 Odisha Khurda 202 52 11 0 2
20 Odisha Koraput 307 48 15 1 1
20 Odisha Malkangiri 158 28 8 0 1
20 Odisha Mayurbhanj 589 86 28 3 1
20 Odisha NawaraPur 289 40 11 0 1
20 Odisha Nayagarh 166 37 12 1 1
20 Odisha Nuapada 95 17 6 0 1
20 Odisha Puri 241 48 17 0 1
20 Odisha Rayagada 235 38 11 1 1
20 Odisha Sambalpur 167 28 10 2 1
20 Odisha Sonepur 89 20 5 1 1
20 Odisha Sundargarh 390 59 19 1 2
20 Odisha Total 6688 1280 370 28 32
21 Punjab Amritsar 179 34 6 2 1
21 Punjab Barnala 71 10 4 1 1
21 Punjab Bathinda 136 19 9 3 1
21 Punjab Faridkot 62 8 4 1 1
21 Punjab F.G.Sahib 73 13 5 1 1
21 Punjab Fazilka 109 19 6 1 1
21 Punjab Ferozpur 122 17 4 1 1
21 Punjab Gurdaspur 222 31 13 1 1
21 Punjab Hoshiarpur 244 32 12 3 1
21 Punjab Jalandhar 198 28 12 2 1
21 Punjab Kapurthala 88 12 5 3 1
21 Punjab Ludhiana 265 31 11 4 1
21 Punjab Mansa 103 14 4 2 1
21 Punjab Moga 122 21 6 0 1
21 Punjab Mohali 76 12 5 2 1
21 Punjab Mukatsar 102 19 5 3 1
21 Punjab Nawanshahar 95 17 3 1 1
21 Punjab Pathankot 69 9 4 0 1
21 Punjab Patiala 185 28 9 3 1
21 Punjab Ropar 85 12 5 1 1
21 Punjab Sangrur 192 28 8 4 1
21 Punjab "Tarn Taran" 152 18 11 2 1
21 Punjab Total 2950 432 151 41 22
22 Rajasthan Ajmer 400 63 20 3 2
22 Rajasthan Alwar 762 120 36 0 1
22 Rajasthan Baran 277 48 13 0 1
22 Rajasthan Banswara 471 53 21 0 1
22 Rajasthan Barmer 764 93 22 1 1
22 Rajasthan Bharatpur 417 67 17 0 1
22 Rajasthan Bhilwara 540 72 25 0 1
22 Rajasthan Bikaner 448 55 14 0 1
22 Rajasthan Bundi 215 30 12 0 1
22 Rajasthan Chittorgarh 398 47 21 1 1
22 Rajasthan Churu 468 86 16 2 1
22 Rajasthan Dausa 340 44 15 0 1
22 Rajasthan Dholpur 233 28 7 1 1
22 Rajasthan Dungarpur 374 55 15 1 1
22 Rajasthan Ganganagar 439 54 17 0 1
22 Rajasthan Hanumangarh 380 54 14 0 1
22 Rajasthan Jaipur 678 118 31 1 1
22 Rajasthan Jaisalmer 169 24 8 0 1
22 Rajasthan Jalore 430 69 10 0 1
22 Rajasthan Jhalawar 341 42 15 0 0
22 Rajasthan Jhunjhunu 641 109 26 1 1
22 Rajasthan Jodhpur 677 81 25 0 2
22 Rajasthan Karauli 297 35 10 1 1
22 Rajasthan Kota 216 40 13 0 1
22 Rajasthan Nagaur 854 121 28 2 1
22 Rajasthan Pali 489 80 21 1 1
22 Rajasthan Pratapgarh 212 29 8 0 1
22 Rajasthan Rajsamand 275 44 12 1 1
22 Rajasthan "Sawai Madhopur" 291 35 12 1 1
22 Rajasthan Sikar 693 99 30 1 1
22 Rajasthan Sirohi 233 29 9 0 1
22 Rajasthan Tonk 308 59 9 0 1
22 Rajasthan Udaipur 676 96 27 1 1
22 Rajasthan Total 14406 2079 579 19 34
23 Sikkim East 48 6 1 0 1
23 Sikkim West 41 7 0 0 1
23 Sikkim North 19 5 0 0 1
23 Sikkim South 39 6 1 0 1
23 Sikkim Total 147 24 2 0 4
24 "Tamil Nadu" Ariyalur 117 32 6 3 1
24 "Tamil Nadu" Chennai 0 138 0 3 0
24 "Tamil Nadu" Coimbatore 328 74 12 13 1
24 "Tamil Nadu" Cuddalore 319 57 13 8 1
24 "Tamil Nadu" Dharmapuri 218 42 8 3 1
24 "Tamil Nadu" Dindigul 311 57 14 12 1
24 "Tamil Nadu" Erode 311 60 14 7 1
24 "Tamil Nadu" Kancheepuram 364 64 13 9 1
24 "Tamil Nadu" Kanniyakumari 267 38 9 8 1
24 "Tamil Nadu" Karur 168 29 8 6 1
24 "Tamil Nadu" Krishnagiri 238 51 10 6 1
24 "Tamil Nadu" Madurai 314 73 13 6 1
24 "Tamil Nadu" Nagapattinam 258 47 11 11 1
24 "Tamil Nadu" Namakkal 240 46 15 8 1
24 "Tamil Nadu" Perambalur 90 24 4 3 1
24 "Tamil Nadu" Pudukottai 242 56 13 13 1
24 "Tamil Nadu" Ramanathapuram 244 47 11 9 1
24 "Tamil Nadu" Salem 398 83 20 11 1
24 "Tamil Nadu" Sivaganga 275 39 12 16 1
24 "Tamil Nadu" Thanjavur 309 62 14 13 1
24 "Tamil Nadu" "The Nilgiris" 194 32 4 5 1
